Actual name ID,Actual category ID
1,8
1,9
2,9
3,2
3,1
3,7
4,1
4,4
4,6
5,8
6,1
6,4
6,5
7,1
7,6
8,2
8,4
8,5
9,1
9,4
9,5
10,8
11,2
12,1
12,4
12,5
13,9
14,9
14,4
15,6
16,3
16,4
17,1
17,4
18,2
18,4
19,1
19,4
20,1
20,4
20,7
21,4
22,7
23,2
23,4
24,9
25,2
25,6
26,2
26,4
27,1
27,4
28,2
28,4
29,1
29,6
30,1
31,2
32,1
32,6
33,4
34,8
35,1
36,8
37,1
38,2
38,4
39,2
39,1
39,4
40,2
40,1
40,4
41,2
41,4
42,1
42,4
43,1
43,4
44,8
44,6
45,7
45,4
46,1
46,4
46,5
47,1
47,4
48,1
49,4
49,8
50,8
51,9
52,1
53,1
54,2
54,7
54,6
54,4
55,8
56,8
57,9
58,1
59,1
60,1
60,4
60,5
61,6
62,1
63,4
63,8
64,8
65,7
65,9
66,6
67,6
68,1
68,4
68,5
69,4
70,8
71,7
72,2
72,4
73,1
74,3
74,4
75,1
75,4
76,3
76,4
77,2
77,4
78,2
78,4
79,8
80,6
81,6
82,2
82,4
83,2
83,4
84,6
85,1
85,4
86,7
87,1
88,1
88,6
89,8
